"5.39.46.77","5.39.46.78","86453837","86453838","PT","Portugal"
"5.39.46.79","5.39.46.83","86453839","86453843","FR","France"
"5.39.46.84","5.39.46.87","86453844","86453847","GB","United Kingdom"
"5.39.46.88","5.39.46.187","86453848","86453947","FR","France"
"5.39.46.188","5.39.46.191","86453948","86453951","IE","Ireland"
"5.39.46.192","5.39.47.191","86453952","86454207","FR","France"
"5.39.47.192","5.39.47.255","86454208","86454271","ES","Spain"
"5.39.48.0","5.39.48.27","86454272","86454299","FR","France"
"5.39.48.28","5.39.48.31","86454300","86454303","DE","Germany"
"5.39.48.32","5.39.48.63","86454304","86454335","FR","France"
"5.39.48.64","5.39.48.71","86454336","86454343","DE","Germany"
"5.39.48.72","5.39.50.55","86454344","86454839","FR","France"
"5.39.50.56","5.39.50.63","86454840","86454847","GB","United Kingdom"
"5.39.50.64","5.39.50.115","86454848","86454899","FR","France"
"5.39.50.116","5.39.50.119","86454900","86454903","GB","United Kingdom"
"5.39.50.120","5.39.50.219","86454904","86455003","FR","France"
"5.39.50.220","5.39.50.223","86455004","86455007","ES","Spain"
"5.39.50.224","5.39.53.39","86455008","86455591","FR","France"
"5.39.53.40","5.39.53.43","86455592","86455595","NL","Netherlands"
"5.39.53.44","5.39.53.71","86455596","86455623","FR","France"
"5.39.53.72","5.39.53.72","86455624","86455624","DE","Germany"
"5.39.53.73","5.39.53.215","86455625","86455767","FR","France"
"5.39.53.216","5.39.53.219","86455768","86455771","GB","United Kingdom"
"5.39.53.220","5.39.54.231","86455772","86456039","FR","France"
"5.39.54.232","5.39.54.235","86456040","86456043","FI","Finland"
"5.39.54.236","5.39.55.131","86456044","86456195","FR","France"
"5.39.55.132","5.39.55.147","86456196","86456211","DE","Germany"
"5.39.55.148","5.39.56.31","86456212","86456351","FR","France"
"5.39.56.32","5.39.56.47","86456352","86456367","CH","Switzerland"
"5.39.56.48","5.39.58.111","86456368","86456943","FR","France"
"5.39.58.112","5.39.58.115","86456944","86456947","GR","Greece"
"5.39.58.116","5.39.58.227","86456948","86457059","FR","France"
"5.39.58.228","5.39.58.228","86457060","86457060","DE","Germany"
